Timestamps,Filtered Voltages,Envelope
2623.146729,0.0009,0.006075
2631.343994,0.005425,0.00602
2639.54126,-0.004263,0.006087
2647.73877,-0.00252,0.006143
2655.936035,0.006077,0.006076
2664.133301,-0.002593,0.00581
2672.330566,-0.002966,0.005328
2680.528076,0.004678,0.00468
2688.725342,-0.002438,0.003978
2696.922607,-0.000427,0.00342
2705.120117,0.002367,0.003258
2713.317383,-0.003578,0.003581
2721.514648,0.00307,0.004212
2729.711914,0.000417,0.004906
2737.909424,-0.004743,0.005477
2746.106689,0.00516,0.005808
2754.303955,-0.000413,0.005825
2762.501221,-0.004514,0.005481
2770.69873,0.004311,0.004767
2778.895996,-0.00031,0.003698
2787.093262,-0.001862,0.00231
2795.290771,0.000694,0.000702
2803.488037,-0.000373,0.001229
2811.685303,0.002963,0.003134
2819.882568,-0.003816,0.005048
2828.080078,-0.001405,0.006862
2836.277344,0.008123,0.008488
2844.474609,-0.007019,0.00984
2852.672119,-0.002957,0.010849
2860.869385,0.011169,0.011468
2869.06665,-0.007863,0.01167
2877.263916,-0.003504,0.011455
2885.461426,0.010593,0.01086
2893.658691,-0.006964,0.009945
2901.855957,-0.001875,0.008796
2910.053223,0.006924,0.007537
2918.250732,-0.005585,0.006319
2926.447998,0.001412,0.005329
2934.645264,0.002185,0.004748
2942.842773,-0.004328,0.004632
2951.040039,0.004467,0.004857
2959.237305,-0.001714,0.005217
2967.43457,-0.002877,0.00555
2975.63208,0.005737,0.005777
2983.829346,-0.004035,0.005865
2992.026611,-0.001018,0.005808
3000.224121,0.005041,0.005618
3008.421387,-0.004724,0.00531
3016.618652,0.000855,0.004906
3024.815918,0.002947,0.004444
3033.013428,-0.00397,0.003973
3041.210693,0.002352,0.003563
3049.407959,0.000221,0.003283
3057.605225,-0.002349,0.003161
3065.802734,0.003171,0.003172
3074.0,-0.002197,0.003256
3082.197266,-0.000174,0.003382
3090.394775,0.002657,0.003593
3098.592041,-0.003985,0.003989
3106.789307,0.003102,0.004672
3114.986572,0.000768,0.005656
3123.184082,-0.005987,0.006853
3131.381348,0.007242,0.008126
3139.578613,-0.000741,0.009326
3147.775879,-0.008511,0.010316
3155.973389,0.00979,0.010994
3164.170654,-8.2e-05,0.011297
3172.36792,-0.010006,0.011213
3180.56543,0.008513,0.010779
3188.762695,0.002423,0.010075
3196.959961,-0.009118,0.009215
3205.157227,0.00396,0.008352
3213.354736,0.005311,0.007655
3221.552002,-0.006429,0.007264
3229.749268,-0.001456,0.00723
3237.946777,0.007435,0.00748
3246.144043,-0.003502,0.00786
3254.341309,-0.00537,0.008215
3262.538574,0.008103,0.00843
3270.736084,-0.001514,0.008433
3278.93335,-0.006449,0.008189
3287.130615,0.007082,0.007703
3295.327881,-0.000826,0.007005
3303.525391,-0.004861,0.006149
3311.722656,0.004889,0.0052
3319.919922,-0.001008,0.004218
3328.117432,-0.002102,0.003254
3336.314697,0.002353,0.002354
3344.511963,-0.001168,0.001585
3352.709229,0.00046,0.001149
3360.906738,-0.000125,0.001351
3369.104004,-0.001087,0.001982
3377.30127,0.002741,0.002752
3385.498779,-0.002225,0.003565
3393.696045,-0.001602,0.004391
3401.893311,0.005184,0.005221
3410.090576,-0.003348,0.006048
3418.288086,-0.003452,0.006868
3426.485352,0.007654,0.007673
3434.682617,-0.003119,0.008451
3442.879883,-0.006154,0.009179
3451.077393,0.009485,0.009838
3459.274658,-0.002163,0.010408
3467.471924,-0.008328,0.010875
3475.669434,0.010466,0.01123
3483.866699,-0.001602,0.011457
3492.063965,-0.009107,0.011538
3500.26123,0.010628,0.01145
3508.45874,-0.00173,0.01117
3516.656006,-0.008169,0.01068
3524.853271,0.009481,0.009975
3533.050781,-0.002251,0.009064
3541.248047,-0.00534,0.007974
3549.445312,0.006707,0.006757
3557.642578,-0.002794,0.005482
3565.840088,-0.001303,0.004235
3574.037354,0.002708,0.003137
3582.234619,-0.002396,0.002394
3590.431885,0.002219,0.002352
3598.629395,-0.002136,0.003094
3606.82666,0.000369,0.004352
3615.023926,0.003922,0.005949
3623.221436,-0.007794,0.007799
3631.418701,0.005641,0.00982
3639.615967,0.00411,0.011905
3647.813232,-0.013566,0.013925
3656.010742,0.011174,0.015741
3664.208008,0.004012,0.017218
3672.405273,-0.017424,0.018239
3680.602783,0.013763,0.018717
3688.800049,0.004155,0.018603
3696.997314,-0.017146,0.017885
3705.19458,0.011884,0.016588
3713.39209,0.003869,0.014766
3721.589355,-0.012141,0.012503
3729.786621,0.006747,0.009907
3737.983887,0.002125,0.007105
3746.181396,-0.004108,0.004237
3754.378662,0.001288,0.001499
3762.575928,-0.001199,0.001465
3770.773438,0.003703,0.003764
3778.970703,-0.002085,0.005789
3787.167969,-0.0047,0.007419
3795.365234,0.008469,0.008611
3803.562744,-0.002951,0.009349
3811.76001,-0.00656,0.00964
3819.957275,0.00923,0.009513
3828.154785,-0.002333,0.009015
3836.352051,-0.005858,0.008207
3844.549316,0.006902,0.007163
3852.746582,-0.001606,0.005969
3860.944092,-0.00314,0.004718
3869.141357,0.003485,0.003505
3877.338623,-0.001359,0.002426
3885.535889,-0.000167,0.001589
3893.733398,0.000581,0.001135
3901.930664,-0.000858,0.001132
3910.12793,0.001362,0.001397
3918.325439,-0.001663,0.001814
3926.522705,0.001012,0.002403
3934.719971,0.001192,0.003179
3942.917236,-0.003925,0.004095
3951.114746,0.004001,0.005062
3959.312012,0.000455,0.005977
3967.509277,-0.005968,0.006743
3975.706787,0.006235,0.007281
3983.904053,5.5e-05,0.007538
3992.101318,-0.006503,0.00749
4000.298584,0.006143,0.007133
4008.496094,0.000189,0.006481
4016.693359,-0.005,0.00556
4024.890625,0.003432,0.004421
