,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y
28,0.000229,65535,32741.80183260179,42355.74125318685,,,184.0496736924808,,,,,,,
29,0.000237,50396,6938.5486601045,42585.78306057693,,,-279.4004876906642,,,,,,,
30,0.000246,1024,-39124.073440874694,41985.18479318183,,,86.57549143903567,,,,,,,
31,0.000254,65535,31822.162236497363,40422.31798048176,,,204.64748686533838,,,,,,,
32,0.000262,37433,4240.304674738217,38277.80876813704,,,-305.0476276587552,,,,,,,
33,0.00027,1152,-32467.2958699091,36346.15075492001,,,132.50374858114517,,,,,,,
34,0.000278,65535,30020.386771936784,34247.94830415016,,,135.54082897589322,,,,,,,
35,0.000287,20388,-4633.493981985662,32075.51063309145,,,-279.7490516490083,,,,,,,
36,0.000295,14467,-20778.708760280897,30538.30972738524,,,227.8763647567098,,,,,,,
37,0.000303,65535,29462.94319951374,29513.85672130435,,,-31.318283071907235,,,,,,,
38,0.000311,5265,-17712.965980850375,29561.252627094793,,,-222.8235617008288,,,,,,,
39,0.000319,27846,-7541.526614340344,31033.048958089214,,,390.2433966452513,,,,,,,
40,0.000328,65535,30410.04890062073,33250.710145521094,,,-266.5137354322853,,,,,,,
41,0.000336,1056,-31661.434107997215,36184.75398415076,,,-194.21773237411313,,,,,,,
42,0.000344,40809,4625.95364979828,39371.96364092119,,,635.5291267086692,,,,,,,
43,0.000352,65535,31569.523717606655,42082.831279066755,,,-506.7477215373647,,,,,,,
44,0.00036,1056,-43112.75837580594,44586.821769923146,,,-273.0493785361284,,,,,,,
45,0.000368,55373,14423.661460921137,46805.084986393675,,,968.0016278864513,,,,,,,
46,0.000377,65535,30938.41427424441,48478.891394261766,,,-676.9589796408433,,,,,,,
47,0.000385,1056,-49479.68770626085,49866.667626414,,,-527.2926800611218,,,,,,,
48,0.000393,65535,21603.80269016679,50590.30747526117,,,1379.0818159420014,,,,,,,
