,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y
24,0.000197,65535,26034.542861582308,45196.9954127099,,,378.6357551367448,,,,,,,
25,0.000205,1056,-45004.82693387431,45185.84004425254,,,-57.565372502879114,,,,,,,
26,0.000213,55725,18903.59885825795,45076.74099623588,,,-272.95489597017377,,,,,,,
27,0.000221,65535,26709.575313135003,45734.096531692885,,,312.75406887194623,,,,,,,
28,0.00023,1072,-46083.345959634884,46345.38711587543,,,-94.85397411320054,,,,,,,
29,0.000238,65503,19577.32055709013,46788.251759682134,,,-156.230760791208,,,,,,,
30,0.000246,65535,26545.718343219167,47113.31946369289,,,273.99854950884776,,,,,,,
31,0.000254,1072,-46596.84161754975,46694.00970340732,,,-208.4760066387543,,,,,,,
32,0.000262,65535,21045.59266412291,46191.014949683464,,,-17.689525263329593,,,,,,,
33,0.000271,65535,24631.198551796173,46212.57610741739,,,275.658436598436,,,,,,,
34,0.000279,1072,-46029.85382146139,46038.77510164073,,,-332.7142540857534,,,,,,,
35,0.000287,65535,23646.056824580755,45590.69157800289,,,71.38273622400372,,,,,,,
36,0.000295,65535,19596.208934629685,44842.4615919937,,,284.082487327834,,,,,,,
37,0.000303,1072,-42886.669671230164,43220.86652528123,,,-344.62964634661176,,,,,,,
38,0.000312,65535,27056.06152758617,41359.87096097019,,,46.51282279002244,,,,,,,
39,0.00032,59998,10412.919000265556,39769.65688788363,,,211.4812184385157,,,,,,,
40,0.000328,1040,-35820.802176292505,38045.255771176286,,,-101.33650163363303,,,,,,,
41,0.000336,65535,30420.739694746542,36527.42781814733,,,-113.07325135043052,,,,,,,
42,0.000344,41306,-2508.901709729922,35197.36921975543,,,-71.52304526290612,,,,,,,
43,0.000353,1024,-24702.447304296595,33672.01794429346,,,511.55939508012204,,,,,,,
44,0.000361,65535,32366.71530466498,32660.56265080057,,,-359.62754346297913,,,,,,,
45,0.000369,18964,-16711.343975388016,32225.08296965549,,,-709.3987858318716,,,,,,,
46,0.000377,12483,-10942.825515382865,32180.079099998045,,,1539.7501034437337,,,,,,,
47,0.000385,65535,31105.17443746013,32872.481518681416,,,-573.2107703769931,,,,,,,
48,0.000394,1088,-28186.561019019824,33619.229467508376,,,-1830.3421996454774,,,,,,,
49,0.000402,40665,3074.619896108553,33979.8220484384,,,2940.1338728292676,,,,,,,
50,0.00041,65535,24919.613977421897,34080.41870045376,,,-581.2077449461678,,,,,,,
51,0.000418,1056,-32967.90443307542,33459.44817129091,,,-3513.0518371210833,,,,,,,
52,0.000426,65535,15008.099708107024,32387.443781518396,,,4581.427958093658,,,,,,,
53,0.000434,65535,13092.662225371892,31299.547845420137,,,-201.08966320210695,,,,,,,
54,0.000443,1072,-29040.78953519864,29911.617871286096,,,-5749.430553904795,,,,,,,
55,0.000451,65535,23294.759689161718,28610.140948296354,,,6263.026340153101,,,,,,,
56,0.000459,43002,-3133.1304564257034,27654.633674568016,,,696.983432042292,,,,,,,
57,0.000467,1024,-17423.872115533846,26969.08576923565,,,-8408.762816467424,,,,,,,
58,0.000475,65535,27174.313556420184,27224.1267688078,,,7751.249609864767,,,,,,,
59,0.000484,1072,-20310.374537567783,28346.028271421703,,,2123.6983267233695,,,,,,,
60,0.000492,65535,-1664.050022512564,30105.754774271496,,,-11221.92731325007,,,,,,,
61,0.0005,65535,26241.535537126954,32592.32087637227,,,8828.904340354042,,,,,,,
62,0.000508,1072,-33803.442807037274,35085.91582569662,,,3928.3993381037303,,,,,,,
63,0.000516,65535,13955.890846581213,37243.60451202675,,,-13806.68742623947,,,,,,,
64,0.000525,65535,20226.428320478357,38994.30595029899,,,9347.683837297289,,,,,,,
65,0.000533,1072,-39759.098074833404,39899.331948474704,,,5807.582877915906,,,,,,,
66,0.000541,65535,26273.302338371537,40238.45285366463,,,-15742.649632225954,,,,,,,
67,0.000549,51196,9388.805687769302,40311.63783710872,,,9268.825833540213,,,,,,,
68,0.000557,1024,-36863.31753551766,39938.53361512314,,,7373.607933580368,,,,,,,
69,0.000566,65535,34024.23189629035,39425.02925761545,,,-16682.152623589012,,,,,,,
70,0.000574,22853,-4871.838757958055,38844.83711383445,,,8676.715199813889,,,,,,,
71,0.000582,8514,-26759.032064588402,38068.6053265051,,,8268.395617034737,,,,,,,
72,0.00059,65535,37394.68781573251,37609.69598938206,,,-16460.107579807816,,,,,,,
73,0.000598,1232,-19929.194901644412,37578.37784257482,,,7754.4134728600875,,,,,,,
74,0.000607,24005,-12972.6948804282,37928.25533553829,,,8283.318322214422,,,,,,,
75,0.000615,65535,37069.07935607855,38898.16850829498,,,-15154.93263868506,,,,,,,
76,0.000623,1056,-32651.6029100538,40063.38995975684,,,6723.176467166804,,,,,,,
77,0.000631,36632,832.6793665405773,41104.81834856025,,,7435.399129688615,,,,,,,
78,0.000639,65535,33573.20267549739,42062.72220384067,,,-13066.758939491063,,,,,,,
79,0.000648,1040,-40539.49829500546,42617.96272578614,,,5767.382300436421,,,,,,,
80,0.000656,47995,12243.40340663618,42858.420462644994,,,5962.237651396504,,,,,,,
81,0.000664,65535,27208.120355240888,43015.26264931401,,,-10616.858581362725,,,,,,,
82,0.000672,1040,-42617.34706929863,42795.372652659535,,,4979.014925624667,,,,,,,
83,0.00068,57550,20552.913643315653,42207.844609747364,,,4234.064683771243,,,,,,,
