Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
193,0.001584,32471,937.0278359165026,1240.1401180732323,,,,,,,,,,,,,
194,0.001592,31911,256.0281612480235,1231.7086895279867,,,,,,,,,,,,,
195,0.0016,30567,-1078.4520036190656,1121.809306586312,,,,,,,,,,,,,
196,0.001609,32183,687.1842580754562,1005.4914988466531,,,,,,,,,,,,,
197,0.001617,32151,390.348069715184,963.4417660724322,,,,,,,,,,,,,
198,0.001625,30567,-939.6801539699704,939.7676171733845,,,,,,,,,,,,,
199,0.001633,31927,433.5171539867144,914.7213179884716,,,,,,,,,,,,,
200,0.001641,32183,464.3125188616926,873.0172098873043,,,,,,,,,,,,,
201,0.00165,30887,-743.2391396014089,747.7224284422576,,,,,,,,,,,,,
202,0.001658,31767,185.13186175606768,626.761566084874,,,,,,,,,,,,,
203,0.001666,31895,486.8065831575041,607.7056211478432,,,,,,,,,,,,,
204,0.001674,31031,-514.3981079746724,611.672595026531,,,,,,,,,,,,,
205,0.001682,31975,-47.87169816560693,572.7803871707598,,,,,,,,,,,,,
206,0.001691,32039,482.387241735054,523.7737307022877,,,,,,,,,,,,,
207,0.001699,31335,-289.3693072825007,453.6899898766434,,,,,,,,,,,,,
208,0.001707,31175,-257.8340839826659,426.9803385250823,,,,,,,,,,,,,
209,0.001715,32183,480.4043810131965,498.1292820110545,,,,,,,,,,,,,
210,0.001723,31543,-101.71087629829638,573.0832909540849,,,,,,,,,,,,,
211,0.001732,31047,-440.5773411582594,563.0138095706277,,,,,,,,,,,,,
212,0.00174,32151,502.8109310968232,548.5003384231461,,,,,,,,,,,,,
213,0.001748,31719,29.78277736792498,578.746308674815,,,,,,,,,,,,,
214,0.001756,31095,-595.7830451555739,632.347658817557,,,,,,,,,,,,,
215,0.001765,31895,555.0109086950335,718.6566423046164,,,,,,,,,,,,,
216,0.001773,31719,107.8054896963406,796.7646990155505,,,,,,,,,,,,,
217,0.001781,30935,-725.2144257025992,788.5468839955342,,,,,,,,,,,,,
218,0.001789,32231,622.7059843610745,774.8215971189102,,,,,,,,,,,,,
219,0.001797,31847,153.08887651787765,811.5653046641044,,,,,,,,,,,,,
220,0.001806,30535,-828.3193873695819,859.0851363663813,,,,,,,,,,,,,
221,0.001814,32535,678.068857094338,926.590015840444,,,,,,,,,,,,,
222,0.001822,31639,190.88408576999015,982.8079052005749,,,,,,,,,,,,,
223,0.00183,30759,-899.0287191746544,953.1964840641596,,,,,,,,,,,,,
224,0.001838,32327,693.9702171905545,915.1075990459568,,,,,,,,,,,,,
225,0.001847,31783,235.32594623448284,926.6868656437676,,,,,,,,,,,,,
226,0.001855,30663,-927.010869533917,945.8815508749392,,,,,,,,,,,,,
227,0.001863,32375,658.2174770450478,976.5462096274492,,,,,,,,,,,,,
228,0.001871,32039,280.9932439026064,993.2858718327104,,,,,,,,,,,,,
229,0.001879,30839,-902.0848628486012,927.469305117262,,,,,,,,,,,,,
230,0.001888,31927,579.4716390254708,853.7095567745902,,,,,,,,,,,,,
231,0.001896,31767,305.36793303704866,834.187973572403,,,,,,,,,,,,,
232,0.001904,31031,-818.9008787133632,821.6445761246779,,,,,,,,,,,,,
233,0.001912,32391,482.9217970416289,811.5677231785587,,,,,,,,,,,,,
234,0.00192,31735,280.2696150583385,789.663496269381,,,,,,,,,,,,,
235,0.001929,30935,-681.3477836816817,693.2651859963402,,,,,,,,,,,,,
236,0.001937,31863,399.4585842252197,593.2411580122258,,,,,,,,,,,,,
237,0.001945,32071,188.3493237094095,548.4852351816113,,,,,,,,,,,,,
238,0.001953,30935,-506.7267308262266,512.094427071593,,,,,,,,,,,,,
239,0.001961,31719,352.19647424924,490.734702025407,,,,,,,,,,,,,
240,0.00197,31991,38.71047511029333,475.3661566076114,,,,,,,,,,,,,
241,0.001978,31223,-325.38736546990407,403.6905454983937,,,,,,,,,,,,,
242,0.001986,31975,343.836332803925,349.2050374818237,,,,,,,,,,,,,
243,0.001994,31559,-128.89317970366275,322.4325856568274,,,,,,,,,,,,,
244,0.002003,31463,-170.66847822541368,306.39682830107665,,,,,,,,,,,,,
245,0.002011,32215,352.49412277727447,353.350399246354,,,,,,,,,,,,,
246,0.002019,31031,-259.66284078589285,402.9292236715969,,,,,,,,,,,,,
247,0.002027,31431,-63.25728895516547,402.3833535572028,,,,,,,,,,,,,
248,0.002035,32295,343.2497741725376,399.0523554572923,,,,,,,,,,,,,
249,0.002044,31287,-312.8355741624925,357.35942903628927,,,,,,,,,,,,,
250,0.002052,31831,-2.2373872123337355,311.85587893025854,,,,,,,,,,,,,
251,0.00206,31847,291.00982682756165,328.12987112664314,,,,,,,,,,,,,
252,0.002068,31175,-284.64488142198616,341.4270269405034,,,,,,,,,,,,,
253,0.002076,32007,29.771978501216108,315.34518348231177,,,,,,,,,,,,,
254,0.002085,31751,198.81304328277977,286.28426254604085,,,,,,,,,,,,,
255,0.002093,31511,-208.86498989289476,212.8369691968719,,,,,,,,,,,,,
256,0.002101,31559,51.82262037205009,142.36042460934615,,,,,,,,,,,,,
257,0.002109,31863,97.72380315016952,137.41313172164183,,,,,,,,,,,,,
258,0.002117,31767,-134.41792815556303,143.03711504856565,,,,,,,,,,,,,
259,0.002126,31607,71.29537829666,140.17231398132836,,,,,,,,,,,,,
260,0.002134,31447,26.931462482305054,152.22162444061885,,,,,,,,,,,,,
261,0.002142,31767,-94.54668140631168,114.61968900761426,,,,,,,,,,,,,
262,0.00215,31799,82.09277009607759,82.79946315398105,,,,,,,,,,,,,
263,0.002158,31463,6.10153897515395,72.04494955240602,,,,,,,,,,,,,
264,0.002167,31543,-88.6939064267379,88.76886757338184,,,,,,,,,,,,,
265,0.002175,31815,76.17632984916155,115.00973775347198,,,,,,,,,,,,,
266,0.002183,31735,20.235038616072856,139.14750936663316,,,,,,,,,,,,,
267,0.002191,31447,-90.37889043128496,102.22870711877694,,,,,,,,,,,,,
268,0.002199,31671,57.18234676229292,62.11984090221994,,,,,,,,,,,,,
269,0.002208,31847,31.408278448724975,59.79231263557416,,,,,,,,,,,,,
270,0.002216,31415,-73.25846235106648,80.7273265937302,,,,,,,,,,,,,
271,0.002224,31527,40.32081092789687,83.59702400956434,,,,,,,,,,,,,
272,0.002232,32135,10.138226799708816,92.45903324366934,,,,,,,,,,,,,
273,0.002241,31623,-31.69208512420868,57.96520621287388,,,,,,,,,,,,,
274,0.002249,31543,36.23954982883418,58.865377855687626,,,,,,,,,,,,,
275,0.002257,31527,-40.045211200918445,40.397748089877865,,,,,,,,,,,,,
276,0.002265,31927,21.09624840396809,24.836810398491828,,,,,,,,,,,,,
277,0.002273,31895,35.63605294778644,54.06561608250234,,,,,,,,,,,,,
278,0.002282,31287,-87.11628834767701,91.43353055664016,,,,,,,,,,,,,
279,0.00229,31543,71.09747141287154,117.81872238675548,,,,,,,,,,,,,
280,0.002298,31895,14.099071060727562,149.27972689629252,,,,,,,,,,,,,
281,0.002306,31591,-100.48550406349524,130.30048666846244,,,,,,,,,,,,,
282,0.002314,31815,116.59112228910122,116.6524566245276,,,,,,,,,,,,,
283,0.002323,31639,-42.91131134561842,112.57626493595323,,,,,,,,,,,,,
284,0.002331,31495,-79.79652497972087,116.3401842556048,,,,,,,,,,,,,
285,0.002339,31879,163.49170778114433,163.8036238682883,,,,,,,,,,,,,
286,0.002347,31575,-116.82770104483876,213.78323149800016,,,,,,,,,,,,,
287,0.002355,31559,-58.47767284878162,222.53878217415968,,,,,,,,,,,,,
288,0.002364,31879,210.22475183728025,229.3670937742161,,,,,,,,,,,,,
289,0.002372,31511,-157.28790472791766,213.42825697416745,,,,,,,,,,,,,
290,0.00238,31735,-79.34887232171755,201.4015366710784,,,,,,,,,,,,,
291,0.002388,31815,238.7995728128176,238.7997742188742,,,,,,,,,,,,,
292,0.002396,31511,-112.73378546817013,273.48262899390994,,,,,,,,,,,,,
293,0.002405,31335,-159.08170979853003,256.292361400421,,,,,,,,,,,,,
294,0.002413,32151,223.1946572128831,230.81006410039495,,,,,,,,,,,,,
295,0.002421,31655,25.71244934290369,231.81334428275792,,,,,,,,,,,,,
296,0.002429,31623,-265.66235375144754,266.3975779592596,,,,,,,,,,,,,
297,0.002437,31655,153.00913305809394,313.70974688885303,,,,,,,,,,,,,
298,0.002446,31703,195.45053160853087,348.72539858968804,,,,,,,,,,,,,
299,0.002454,31431,-326.8759265797326,333.4413450873805,,,,,,,,,,,,,
300,0.002462,31975,56.898441145253855,310.5609938951694,,,,,,,,,,,,,
301,0.00247,31815,275.0348458774135,324.9411567506331,,,,,,,,,,,,,
302,0.002479,31431,-271.0736767639904,324.4018630014928,,,,,,,,,,,,,
303,0.002487,31751,3.8489710526405263,273.6075544306853,,,,,,,,,,,,,
304,0.002495,31639,147.54505038141062,197.0887942995122,,,,,,,,,,,,,
305,0.002503,31847,-81.12763685481492,81.49058054399978,,,,,,,,,,,,,
306,0.002511,31671,65.18698015828603,99.0922482125195,,,,,,,,,,,,,
307,0.00252,31559,-203.40474064667023,203.47268824003345,,,,,,,,,,,,,
308,0.002528,31799,173.31597618346393,318.49634086537924,,,,,,,,,,,,,
309,0.002536,31751,238.05480086399243,470.9926052297839,,,,,,,,,,,,,
310,0.002544,31671,-611.9623475758002,612.4431990145016,,,,,,,,,,,,,
311,0.002552,31719,360.534669731972,720.4622183564455,,,,,,,,,,,,,
312,0.002561,31623,359.18129456726047,775.5782116868382,,,,,,,,,,,,,
313,0.002569,31719,-723.3349881528511,725.4604059816805,,,,,,,,,,,,,
314,0.002577,31735,379.9912491069486,598.0247281535537,,,,,,,,,,,,,
315,0.002585,31559,62.9259193818221,429.3257939014297,,,,,,,,,,,,,
316,0.002593,31671,-104.14448438932529,295.7150712607134,,,,,,,,,,,,,
317,0.002602,32103,291.9125971799597,600.6853260931547,,,,,,,,,,,,,
318,0.00261,30775,-1160.0683653024482,1200.5433196592735,,,,,,,,,,,,,
