Unnamed: 0,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y,grid_distance,sensor_position,sensor_height
402,0.003293,31511,-358.6433608213409,410.13040283169846,,,,,,,,,,,,,
403,0.003301,32007,375.976370325496,457.0651477689983,,,,,,,,,,,,,
404,0.00331,32039,72.41243697266,498.67686948588937,,,,,,,,,,,,,
405,0.003318,31335,-475.25726459055375,496.19106836128776,,,,,,,,,,,,,
406,0.003326,31991,318.28435587456994,489.4662975564408,,,,,,,,,,,,,
407,0.003334,31895,247.19241524889588,513.8272950788036,,,,,,,,,,,,,
408,0.003342,31271,-538.820515518367,543.1300108485444,,,,,,,,,,,,,
409,0.003351,31927,182.48165807069392,561.9668373835087,,,,,,,,,,,,,
410,0.003359,32423,397.3857172722575,565.899551219404,,,,,,,,,,,,,
411,0.003367,31095,-495.77417829937366,531.6793686640538,,,,,,,,,,,,,
412,0.003375,32039,10.496807580915926,492.01456872673936,,,,,,,,,,,,,
413,0.003383,32199,446.2458842263133,485.8026889710869,,,,,,,,,,,,,
414,0.003391,31319,-341.09951288306246,473.98103973737534,,,,,,,,,,,,,
415,0.0034,31623,-129.3779334436,424.6100908396918,,,,,,,,,,,,,
416,0.003408,32215,356.03965158786195,359.7245741347014,,,,,,,,,,,,,
417,0.003416,31783,-124.96492151449776,284.46895833914766,,,,,,,,,,,,,
418,0.003424,31527,-173.58331206530954,219.91852205535432,,,,,,,,,,,,,
419,0.003432,31703,148.73005392631964,188.137055933552,,,,,,,,,,,,,
420,0.003441,32007,69.02471475864455,158.01896083638414,,,,,,,,,,,,,
421,0.003449,31719,-95.23147975203038,113.62882317165214,,,,,,,,,,,,,
422,0.003457,31879,-101.50605051951062,131.6644680563599,,,,,,,,,,,,,
423,0.003465,31847,163.39797823530262,206.4553787991552,,,,,,,,,,,,,
424,0.003473,31879,80.29656769267459,275.20822577864334,,,,,,,,,,,,,
425,0.003482,31383,-300.8669361377038,301.30147494677493,,,,,,,,,,,,,
426,0.00349,32055,123.82638431241496,322.4312380636448,,,,,,,,,,,,,
427,0.003498,31943,284.5376950178598,376.1821924417473,,,,,,,,,,,,,
428,0.003506,31511,-377.7926948940424,430.0676421004079,,,,,,,,,,,,,
429,0.003514,31607,-24.27043170773738,458.0993337222714,,,,,,,,,,,,,
430,0.003523,32327,435.6325912400139,470.6131368116073,,,,,,,,,,,,,
431,0.003531,31367,-314.9752592584377,462.032541659938,,,,,,,,,,,,,
432,0.003539,31655,-206.8952974509905,454.6866329051972,,,,,,,,,,,,,
433,0.003547,32407,475.1416248915324,476.8222147893596,,,,,,,,,,,,,
434,0.003555,31447,-156.9346166682913,491.920477698283,,,,,,,,,,,,,
435,0.003564,31575,-335.7465183562755,464.1486116857885,,,,,,,,,,,,,
436,0.003572,32039,394.8107350958188,424.799552873436,,,,,,,,,,,,,
437,0.00358,32055,11.70910272496936,394.5480704327452,,,,,,,,,,,,,
438,0.003588,31207,-350.14981536813923,368.18310115875033,,,,,,,,,,,,,
439,0.003596,32247,239.05770278504707,348.4795447864301,,,,,,,,,,,,,
440,0.003604,31815,108.7195801515313,317.5503770953512,,,,,,,,,,,,,
441,0.003613,31687,-245.81576143922507,246.7021995884751,,,,,,,,,,,,,
442,0.003621,31655,79.93060698293215,171.5131702934311,,,,,,,,,,,,,
443,0.003629,32023,96.74216264083232,129.0410508048177,,,,,,,,,,,,,
444,0.003637,31687,-74.32342194539054,97.82970002236328,,,,,,,,,,,,,
445,0.003645,31559,-23.26399219191896,50.77150084364505,,,,,,,,,,,,,
446,0.003654,32087,2.152968310924178,22.62093235969299,,,,,,,,,,,,,
447,0.003662,31719,87.58754438355653,87.68607778489222,,,,,,,,,,,,,
448,0.00367,31927,-56.7012437172713,149.98964823620474,,,,,,,,,,,,,
