,Timestamps,Voltages,filtered_signal,envelope,start_rx,finish_rx,extracted_signal,distance,type,grid_x,grid_y,angle,real_x,real_y
170,0.001392,28695,-2878.140775852667,3680.252196452758,,,378.2789075447218,,,,,,,
171,0.001401,30695,-624.9988954766997,3506.897039188173,,,-89.53505245503433,,,,,,,
172,0.001409,35080,3151.664053606697,3317.7762540097388,,,-327.0646020427678,,,,,,,
173,0.001417,29751,-2162.7572041202134,3091.6555199580894,,,425.44810703876425,,,,,,,
174,0.001425,30183,-972.6251182349268,2893.763859654003,,,-70.79762221983228,,,,,,,
175,0.001433,34280,2822.088145171742,2846.5338497338835,,,-374.16678407683526,,,,,,,
176,0.001442,30199,-1628.851238818008,2810.950687392606,,,429.0835867092371,,,,,,,
177,0.00145,30519,-1108.6111460530722,2667.433784374829,,,-33.17135949091855,,,,,,,
178,0.001458,34104,2506.5849265289016,2519.3933805024244,,,-384.85866218303516,,,,,,,
179,0.001466,29991,-1296.5412321523834,2369.561798733941,,,,,,,,,,
180,0.001474,30855,-1109.6541373684329,2246.4361762861954,,,,,,,,,,
181,0.001483,34040,2254.7668365218665,2254.861889770511,,,,,,,,,,
182,0.001491,30327,-1101.728524152997,2269.2793122243997,,,,,,,,,,
183,0.001499,30439,-1072.2701788258464,2169.2711961486552,,,,,,,,,,
184,0.001507,33736,2061.217122768622,2061.9771190513143,,,,,,,,,,
185,0.001515,30695,-940.2153470679098,1955.6150340113243,,,,,,,,,,
186,0.001523,30487,-1064.8720893465672,1867.2597850764175,,,,,,,,,,
187,0.001532,33304,1879.2967564246721,1890.7371473008836,,,,,,,,,,
188,0.00154,30967,-725.8585049908473,1908.8024352486477,,,,,,,,,,
189,0.001548,30903,-1100.60802437722,1798.9242245291928,,,,,,,,,,
190,0.001556,33128,1654.319289232338,1671.9680925562127,,,,,,,,,,
191,0.001564,30967,-432.6118690949408,1564.4225260951953,,,,,,,,,,
192,0.001573,30391,-1141.9271165733355,1480.002333274349,,,,,,,,,,
193,0.001581,33304,1358.8992937996557,1482.0889058754324,,,,,,,,,,
194,0.001589,31527,-102.7418333599252,1473.8654004431494,,,,,,,,,,
195,0.001597,30199,-1132.4046880748194,1333.1155166865246,,,,,,,,,,
196,0.001605,32407,1013.7300664902145,1182.393405660738,,,,,,,,,,
197,0.001614,32103,181.5315077944801,1105.7541624826054,,,,,,,,,,
198,0.001622,30503,-1038.3430874909175,1061.4388386641733,,,,,,,,,,
199,0.00163,32231,681.0035382088049,1050.0512217301236,,,,,,,,,,
200,0.001638,31991,348.3771202346367,1025.1483271082084,,,,,,,,,,
201,0.001646,30823,-874.7168940810363,883.471146948741,,,,,,,,,,
202,0.001655,32151,431.36452613900275,743.1103017496877,,,,,,,,,,
203,0.001663,31783,379.7661429746049,712.7398332750832,,,,,,,,,,
204,0.001671,30887,-699.2868593649699,707.0677238815023,,,,,,,,,,
205,0.001679,32071,303.744746584702,694.1919172951862,,,,,,,,,,
206,0.001687,31943,323.31152862723275,683.4770077132664,,,,,,,,,,
207,0.001695,31175,-580.880589877575,582.044061145468,,,,,,,,,,
