,max amp,std,kurtosis,skewness,power,rise time,fall time,peak entropy,distance,grid_x,grid_y,angle,real_x,real_y,plateau_sizes 1,plateau_sizes 2,left_edges 1,left_edges 2,right_edges 1,right_edges 2,peak_heights 1,peak_heights 2,left_thresholds 1,left_thresholds 2,right_thresholds 1,right_thresholds 2,prominences 1,prominences 2,left_bases 1,left_bases 2,right_bases 1,right_bases 2,widths 1,widths 2,width_heights 1,width_heights 2,left_ips 1,left_ips 2,right_ips 1,right_ips 2,label
big_pole_sensor_50cm_2_13 17_filtered.csv,0.05009634842744712,0.013951288783296061,0.42596191867003924,0.3964972720296298,0.04242261245889344,0.11363636363636362,0.1694915254237288,0.0,0.9094551282051283,0.5263157894736841,0.9411764705882353,0.5263275988465328,0.5263157894736842,0.9411764705882353,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.05009634842744712,0.0,0.026792717190511788,0.0,0.1568182647762452,0.0,0.0520785705964301,0.0,0.7647058823529411,0.0,0.8839285714285713,0.0,0.5290717166276708,0.0,0.0074371933780415225,0.0,0.6137228929947376,0.0,0.8994557075126219,0.0,1.0
big_pole_sensor_50cm_2_13 16_filtered.csv,0.07532370880161976,0.024182680045400792,0.32523378251200064,0.49305199400697663,0.06621260389441774,0.11363636363636362,0.13559322033898305,0.0,0.8525641025641025,0.5263157894736841,0.8823529411764706,0.5263275988465328,0.5263157894736842,0.8823529411764706,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.07532370880161976,0.0,0.05662444022502272,0.0,0.3608095193739437,0.0,0.07642931758037219,0.0,0.7058823529411764,0.0,0.8928571428571427,0.0,0.5518505729769925,0.0,0.01687382770074646,0.0,0.5881579428274734,0.0,0.907189883857805,0.0,1.0
big_pole_sensor_50cm_2_13 15_filtered.csv,0.061854871002783945,0.019499248739369833,0.36947694272986314,0.44889249150800203,0.05406321855262517,0.09090909090909091,0.2711864406779661,0.0,0.7876602564102565,0.5263157894736841,0.8235294117647058,0.5263275988465328,0.5263157894736842,0.8235294117647058,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.061854871002783945,0.0,0.03948270295521134,0.0,0.08437833430314719,0.0,0.06190089168619902,0.0,0.8470588235294118,0.0,0.9732142857142857,0.0,0.539130217825353,0.0,0.021792199957765407,0.0,0.6924276062742711,0.0,0.9767974709644511,0.0,1.0
big_pole_sensor_50cm_2_13 14_filtered.csv,0.07982657402919294,0.016451828766087216,0.3916887083824596,0.42761732677336606,0.04885194046347557,0.09090909090909091,0.05084745762711865,0.0,0.733173076923077,0.5263157894736841,0.7647058823529411,0.5263275988465328,0.5263157894736842,0.7647058823529411,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.07982657402919294,0.0,0.05439203643591583,0.0,0.1320357934986118,0.0,0.08314744952605305,0.0,0.8470588235294118,0.0,0.9464285714285713,0.0,0.4743540713338987,0.0,0.003099825945827632,0.0,0.6778865816746639,0.0,0.8831391602355994,0.0,1.0
big_pole_sensor_50cm_2_13 13_filtered.csv,0.11092848139734737,0.034394947850168736,0.2684165054468156,0.5537084104346317,0.08640283683825528,0.09090909090909091,0.2711864406779661,0.0,0.6810897435897437,0.5263157894736841,0.7058823529411764,0.5263275988465328,0.5263157894736842,0.7058823529411764,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.11092848139734737,0.0,0.007228271922062366,0.0,0.30219506971095733,0.0,0.1152251499349983,0.0,0.611764705882353,0.0,0.9553571428571427,0.0,0.6584915538145848,0.0,0.0013299239011027603,0.0,0.4903018079085974,0.0,0.9613291182740853,0.0,1.0
big_pole_sensor_50cm_2_13 12_filtered.csv,0.12119778406179552,0.0407286545665754,0.24927136490483945,0.575717295174451,0.09547913850524864,0.09090909090909091,0.0847457627118644,0.0,0.6290064102564104,0.5263157894736841,0.6470588235294117,0.5263275988465328,0.5263157894736842,0.6470588235294117,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.12119778406179552,0.0,0.07665298217674278,0.0,0.1450052764489523,0.0,0.12578812460207112,0.0,0.611764705882353,0.0,0.9999999999999999,0.0,0.6876921953057404,0.0,0.0009314044079306852,0.0,0.4895847534317027,0.0,0.9975759012053218,0.0,1.0
big_pole_sensor_50cm_2_13 11_filtered.csv,0.1797856268971072,0.07366994834057503,0.1665740137023078,0.6799916620189042,0.1527615293523626,0.09090909090909091,0.3559322033898305,0.0,0.5697115384615385,0.5263157894736841,0.5882352941176471,0.5263275988465328,0.5263157894736842,0.588235294117647,0.0,0.0,0.5944055944055944,0.0,0.5944055944055944,0.0,0.1797856268971072,0.0,0.028914419449096385,0.0,0.23591876727634975,0.0,0.1820501301058544,0.0,0.5294117647058824,0.0,0.9999999999999999,0.0,0.6538109617132728,0.0,0.024737100729045128,0.0,0.5445649527008616,0.0,1.0,0.0,1.0
big_pole_sensor_50cm_2_13 10_filtered.csv,0.21742830884784134,0.07772632754647782,0.1588889659150491,0.6907532106924671,0.1607249186132328,0.13636363636363638,0.11864406779661016,0.31094944538947855,0.5160256410256412,0.5263157894736841,0.5294117647058824,0.5263275988465328,0.5263157894736842,0.5294117647058822,0.0,1.0,0.5944055944055944,0.8492462311557789,0.5944055944055944,0.8492462311557789,0.21742830884784134,0.06415704742777342,0.1041220541838562,0.014845543920293467,0.12688860971755547,0.08727155474155537,0.22004963061410887,0.07580017599568546,0.6941176470588235,0.7288135593220338,0.9910714285714285,0.995,0.5748637963202177,0.7930631268890537,0.027966813513726888,0.012128447414579673,0.6563840042885242,0.6490904858699299,0.992265823654817,0.9659925324047046,1.0
big_pole_sensor_50cm_2_12 9_filtered.csv,0.24391772336512688,0.11650346355770452,0.12076751714155762,0.7472712964217152,0.21057580976738716,0.11363636363636362,0.2033898305084746,0.3429914033590861,0.4591346153846154,0.47368421052631576,0.47058823529411764,0.4800175504120926,0.47368421052631576,0.4705882352941177,0.0,1.0,0.5944055944055944,0.8844221105527639,0.5944055944055944,0.8844221105527639,0.24391772336512688,0.09884403022197912,0.04868739930197386,0.04260517621522254,0.2606101453330177,0.05456175012260144,0.24197788603756315,0.12416865154249555,0.2823529411764706,0.8135593220338984,0.4999999999999999,1.0,0.22989018472950945,0.6534208698235305,0.06160462964634406,0.013190808989967868,0.6683080209932986,0.7401923099613721,0.5668861246697527,1.0,1.0
big_pole_sensor_50cm_2_12 8_filtered.csv,0.2698113267272637,0.10744438290595869,0.1279657893284797,0.7360925013065948,0.19931972364015846,0.09090909090909091,0.15254237288135591,0.30701770361209374,0.3966346153846154,0.47368421052631576,0.4117647058823529,0.47541577591385253,0.47368421052631576,0.411764705882353,0.0,1.0,0.5944055944055944,0.914572864321608,0.5944055944055944,0.914572864321608,0.2698113267272637,0.07379392267054036,0.0566680424177665,0.057731245634896976,0.31996918166586025,0.017188412108533512,0.27752552162187966,0.06932539011650167,0.3176470588235294,0.8926553672316384,0.6249999999999999,1.0,0.5850335604409194,0.42282034696484627,0.0025035361086927954,0.027236982309933166,0.25420746812799894,0.8341198584793085,0.6747204038815273,1.0,1.0
