,param_classifier__C,param_classifier__degree,param_classifier__kernel,param_feature_selection__k,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,1,5,sigmoid,1,0.5714285714285714,0.6052631578947368,0.5601503759398496,0.5320754716981132,0.4037735849056604,0.5345382323733864,0.06946128752215658,65
16,1,7,linear,1,0.6165413533834586,0.6804511278195489,0.5939849624060151,0.5962264150943396,0.6415094339622641,0.6257426585331253,0.03226772915962095,22
17,1,7,linear,1,0.6466165413533834,0.7105263157894737,0.5827067669172933,0.5811320754716981,0.5849056603773585,0.6211774719818414,0.051048281826404196,33
18,1,7,poly,1,0.5827067669172933,0.5827067669172933,0.5225563909774437,0.6150943396226415,0.5849056603773585,0.5775939849624061,0.030136871195620394,58
19,1,7,poly,1,0.5827067669172933,0.6390977443609023,0.4473684210526316,0.4490566037735849,0.6226415094339622,0.5481742091076749,0.08365533123748627,62
20,1,7,rbf,1,0.6203007518796992,0.6541353383458647,0.5939849624060151,0.6,0.6490566037735849,0.6234955312810329,0.024597912451539326,28
21,1,7,rbf,1,0.6541353383458647,0.6616541353383458,0.6691729323308271,0.6792452830188679,0.6641509433962264,0.6656717264860263,0.008343164273517778,1
22,1,7,sigmoid,1,0.38721804511278196,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.38480635551142006,0.017617441530885646,94
23,1,7,sigmoid,1,0.5714285714285714,0.3082706766917293,0.5601503759398496,0.5320754716981132,0.4037735849056604,0.4751397361327848,0.10264349682966373,80
24,10,3,linear,1,0.6165413533834586,0.6842105263157895,0.5939849624060151,0.5962264150943396,0.6452830188679245,0.6272492552135055,0.03392165085539042,19
25,10,3,linear,1,0.5827067669172933,0.7105263157894737,0.5827067669172933,0.5962264150943396,0.5849056603773585,0.6114143850191517,0.049809269032493955,43
26,10,3,poly,1,0.5939849624060151,0.6729323308270677,0.6090225563909775,0.6226415094339622,0.6226415094339622,0.624244573698397,0.026544269478611274,25
27,10,3,poly,1,0.424812030075188,0.5827067669172933,0.5827067669172933,0.4075471698113208,0.6226415094339622,0.5240828486310115,0.08946797981898746,70
28,10,3,rbf,1,0.5977443609022557,0.6616541353383458,0.5902255639097744,0.5924528301886792,0.630188679245283,0.6144531139168676,0.027661213025483782,34
29,10,3,rbf,1,0.6390977443609023,0.6616541353383458,0.6691729323308271,0.6792452830188679,0.6641509433962264,0.6626642076890339,0.013235591249121841,10
30,10,3,sigmoid,1,0.39097744360902253,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.3855582352106682,0.01778376055076776,85
31,10,3,sigmoid,1,0.3383458646616541,0.6052631578947368,0.556390977443609,0.41509433962264153,0.38113207547169814,0.4592452830188679,0.10336939013433977,82
32,10,5,linear,1,0.6165413533834586,0.6842105263157895,0.5939849624060151,0.5962264150943396,0.6452830188679245,0.6272492552135055,0.03392165085539042,19
33,10,5,linear,1,0.650375939849624,0.5827067669172933,0.5827067669172933,0.5811320754716981,0.5849056603773585,0.5963654419066534,0.027031961595927044,46
34,10,5,poly,1,0.5827067669172933,0.42857142857142855,0.5977443609022557,0.44528301886792454,0.6226415094339622,0.5353894169385729,0.08157112712549243,64
35,10,5,poly,1,0.5827067669172933,0.3609022556390977,0.5827067669172933,0.4075471698113208,0.5924528301886792,0.5052631578947369,0.09998554749440815,74
36,10,5,rbf,1,0.5977443609022557,0.6616541353383458,0.5902255639097744,0.5924528301886792,0.630188679245283,0.6144531139168676,0.027661213025483782,34
37,10,5,rbf,1,0.6541353383458647,0.6616541353383458,0.6691729323308271,0.6792452830188679,0.6641509433962264,0.6656717264860263,0.008343164273517778,1
38,10,5,sigmoid,1,0.39097744360902253,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.3855582352106682,0.01778376055076776,85
39,10,5,sigmoid,1,0.5639097744360902,0.6052631578947368,0.556390977443609,0.539622641509434,0.38113207547169814,0.5292637253511137,0.07715237275705003,66
40,10,7,linear,1,0.6165413533834586,0.6842105263157895,0.5939849624060151,0.5962264150943396,0.6452830188679245,0.6272492552135055,0.03392165085539042,19
41,10,7,linear,1,0.650375939849624,0.5827067669172933,0.5827067669172933,0.5811320754716981,0.5849056603773585,0.5963654419066534,0.027031961595927044,46
42,10,7,poly,1,0.5827067669172933,0.6390977443609023,0.5827067669172933,0.5584905660377358,0.5849056603773585,0.5895815009221166,0.026589065483194563,51
43,10,7,poly,1,0.43609022556390975,0.3609022556390977,0.4774436090225564,0.5584905660377358,0.41509433962264153,0.44960419917718825,0.06614055685486427,84
44,10,7,rbf,1,0.5977443609022557,0.6616541353383458,0.5902255639097744,0.5924528301886792,0.630188679245283,0.6144531139168676,0.027661213025483782,34
45,10,7,rbf,1,0.6541353383458647,0.6616541353383458,0.6691729323308271,0.6792452830188679,0.6641509433962264,0.6656717264860263,0.008343164273517778,1
46,10,7,sigmoid,1,0.39097744360902253,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.3855582352106682,0.01778376055076776,85
47,10,7,sigmoid,1,0.5639097744360902,0.6052631578947368,0.556390977443609,0.539622641509434,0.38113207547169814,0.5292637253511137,0.07715237275705003,66
48,50,3,linear,1,0.6165413533834586,0.6842105263157895,0.5939849624060151,0.6,0.6452830188679245,0.6280039721946375,0.03325853062237846,13
49,50,3,linear,1,0.650375939849624,0.7105263157894737,0.5827067669172933,0.5811320754716981,0.5849056603773585,0.6219293516810895,0.05144358666940913,32
50,50,3,poly,1,0.5939849624060151,0.6729323308270677,0.6090225563909775,0.6226415094339622,0.6226415094339622,0.624244573698397,0.026544269478611274,25
51,50,3,poly,1,0.5939849624060151,0.6616541353383458,0.5827067669172933,0.5811320754716981,0.41509433962264153,0.5669144559511987,0.08149761307252604,59
52,50,3,rbf,1,0.5977443609022557,0.6541353383458647,0.5939849624060151,0.5924528301886792,0.6188679245283019,0.6114370832742233,0.023370183661565805,37
53,50,3,rbf,1,0.6466165413533834,0.6729323308270677,0.6691729323308271,0.6754716981132075,0.6641509433962264,0.6656688892041424,0.010260868219142535,6
54,50,3,sigmoid,1,0.39097744360902253,0.3609022556390977,0.38345864661654133,0.41509433962264153,0.37735849056603776,0.3855582352106682,0.01778376055076776,85
55,50,3,sigmoid,1,0.3383458646616541,0.6052631578947368,0.556390977443609,0.539622641509434,0.38113207547169814,0.48415094339622644,0.10472431278810977,77
56,50,5,linear,1,0.6165413533834586,0.6842105263157895,0.5939849624060151,0.6,0.6452830188679245,0.6280039721946375,0.03325853062237846,13
57,50,5,linear,1,0.5827067669172933,0.5827067669172933,0.5827067669172933,0.6,0.5849056603773585,0.5866051922258477,0.006751332364350792,53
58,50,5,poly,1,0.5939849624060151,0.5827067669172933,0.5225563909774437,0.6226415094339622,0.5962264150943396,0.5836232089658108,0.03322237389395697,54
